NOMBRE_CLIENTE,PRECIO_UNITARIO,COSTO_UNITARIO
PÚBLICO EN GENERAL,434.48,52.8
PÚBLICO EN GENERAL,172.41,101.71
PÚBLICO EN GENERAL,237.07,49.41
PÚBLICO EN GENERAL,605.0,44.7
PÚBLICO EN GENERAL,522.0,51.38
PÚBLICO EN GENERAL,999.91,200.3
PÚBLICO EN GENERAL,566.64,85.89
PÚBLICO EN GENERAL,473.28,27.08
PÚBLICO EN GENERAL,1659.6,436.54
PÚBLICO EN GENERAL,107.76,38.96
PÚBLICO EN GENERAL,2665.3,395.14
PÚBLICO EN GENERAL,1579.6,141.65
PÚBLICO EN GENERAL,1143.25,78.83
PÚBLICO EN GENERAL,813.1,222.0
PÚBLICO EN GENERAL,357.85,113.59
PÚBLICO EN GENERAL,336.93,106.55
PÚBLICO EN GENERAL,862.07,12.4
PÚBLICO EN GENERAL,525.0,112.61
PÚBLICO EN GENERAL,119.83,38.96
PÚBLICO EN GENERAL,683.25,29.9
PÚBLICO EN GENERAL,650.32,0.0
PÚBLICO EN GENERAL,512.36,211.36
PÚBLICO EN GENERAL,382.76,137.48
PÚBLICO EN GENERAL,800.0,216.65
PÚBLICO EN GENERAL,1910.0,97.81
PÚBLICO EN GENERAL,850.0,174.73
PÚBLICO EN GENERAL,636.21,102.22
PÚBLICO EN GENERAL,435.72,137.48
PÚBLICO EN GENERAL,1120.69,133.09
PÚBLICO EN GENERAL,110.0,42.79
PÚBLICO EN GENERAL,2497.0,504.53
PÚBLICO EN GENERAL,488.62,0.0
PÚBLICO EN GENERAL,225.0,0.0
PÚBLICO EN GENERAL,301.07,3.8
PÚBLICO EN GENERAL,2325.34,518.74
PÚBLICO EN GENERAL,617.2,0.0
PÚBLICO EN GENERAL,265.08,97.49
PÚBLICO EN GENERAL,1140.86,407.85
PÚBLICO EN GENERAL,999.91,200.3
PÚBLICO EN GENERAL,557.5,0.0
PÚBLICO EN GENERAL,192.0,48.49
PÚBLICO EN GENERAL,753.04,0.0
PÚBLICO EN GENERAL,702.59,227.18
PÚBLICO EN GENERAL,488.62,0.0
PÚBLICO EN GENERAL,1112.0,0.0
PÚBLICO EN GENERAL,310.0,54.8
PÚBLICO EN GENERAL,921.37,0.0
PÚBLICO EN GENERAL,518.97,123.23
PÚBLICO EN GENERAL,404.65,0.0
PÚBLICO EN GENERAL,648.5,65.25
PÚBLICO EN GENERAL,648.5,64.34
PÚBLICO EN GENERAL,693.35,64.34
PÚBLICO EN GENERAL,624.27,54.8
PÚBLICO EN GENERAL,660.0,0.0
PÚBLICO EN GENERAL,794.0,0.0
PÚBLICO EN GENERAL,941.0,165.65
PÚBLICO EN GENERAL,348.0,54.8
PÚBLICO EN GENERAL,785.0,0.0
PÚBLICO EN GENERAL,265.08,97.49
PÚBLICO EN GENERAL,462.0,253.0
PÚBLICO EN GENERAL,2621.15,741.05
PÚBLICO EN GENERAL,1443.3,470.05
PÚBLICO EN GENERAL,1033.0,0.0
PÚBLICO EN GENERAL,753.5,0.0
PÚBLICO EN GENERAL,497.89,42.8
PÚBLICO EN GENERAL,647.0,100.13
PÚBLICO EN GENERAL,647.0,894.91
PÚBLICO EN GENERAL,960.34,91.4
PÚBLICO EN GENERAL,772.0,0.0
PÚBLICO EN GENERAL,4972.3,0.0
PÚBLICO EN GENERAL,1385.0,0.0
PÚBLICO EN GENERAL,264.0,97.49
PÚBLICO EN GENERAL,132.06,0.0
PÚBLICO EN GENERAL,699.38,0.0
PÚBLICO EN GENERAL,699.52,0.0
PÚBLICO EN GENERAL,462.07,220.0
PÚBLICO EN GENERAL,378.26,99.22
PÚBLICO EN GENERAL,132.06,0.0
PÚBLICO EN GENERAL,155.0,62.95
PÚBLICO EN GENERAL,623.37,69.55
PÚBLICO EN GENERAL,120.0,48.2
PÚBLICO EN GENERAL,753.5,127.11
PÚBLICO EN GENERAL,486.0,18.45
PÚBLICO EN GENERAL,1086.48,67.56
PÚBLICO EN GENERAL,1318.7,919.68
PÚBLICO EN GENERAL,827.59,227.18
PÚBLICO EN GENERAL,1158.51,78.25
PÚBLICO EN GENERAL,1385.5,140.88
PÚBLICO EN GENERAL,315.0,57.6
PÚBLICO EN GENERAL,576.65,0.0
PÚBLICO EN GENERAL,689.63,227.18
PÚBLICO EN GENERAL,3416.0,222.14
PÚBLICO EN GENERAL,410.0,57.6
PÚBLICO EN GENERAL,732.0,0.0
OMAR RODRIGUEZ GOMEZ,140.0,38.96
